delta,N,majorant
0.1,1250.564365029086,83.96165463309684
0.1,1286.4900965619004,83.86260741154352
0.1,1323.447888676527,83.76344883754601
0.1,1361.4673900119558,83.66418033325904
0.1,1400.5791009418535,83.56480331368368
0.1,1440.8143980428845,83.46531918669629
0.1,1482.2055592659183,83.36572935307761
0.1,1524.7857898303753,83.26603520654153
0.1,1568.5892488624258,83.16623813376394
0.1,1613.651076798471,83.0663395144114
0.1,1660.0074235758302,82.9663407211696
0.1,1707.695477633309,82.8662431197719
0.1,1756.7534957448565,82.76604806902766
0.1,1807.2208337102995,82.66575692085047
0.1,1859.1379779277204,82.56537102028625
0.1,1912.5465778728635,82.46489170554138
0.1,1967.4894795115688,82.36432030801052
0.1,2024.0107596720843,82.26365815230452
0.1,2082.1557614048143,82.16290655627806
0.1,2141.971130357846,82.06206683105738
0.1,2203.504852197493,81.9611402810677
0.1,2266.8062911038037,81.86012820406069
0.1,2331.926229371991,81.75903189114175
0.1,2398.9169081514833,81.65785262679725
0.1,2467.8320693553405,81.55659168892166
0.1,2538.7269987735986,81.45525034884449
0.1,2611.658570425191,81.35382987135732
0.1,2686.6852921839572,81.25233151474049
0.1,2763.867352715417,81.15075653078985
0.1,2843.2666697618884,81.04910616484345
0.1,2924.9469398147494,80.94738165580797
0.1,3008.9736892136634,80.8455842361852
0.1,3095.414326713736,80.74371513209822
0.1,3184.338197562845,80.64177556331786
0.1,3275.8166391324344,80.53976674328862
0.1,3369.923038146499,80.43768987915477
0.1,3466.732889554568,80.33554617178629
0.1,3566.323857096025,80.2333368158047
0.1,3668.7758356042386,80.13106299960882
0.1,3774.1710151006,80.0287259054003
0.1,3882.593946729772,79.92632670920933
0.1,3994.13161058916,79.82386658092003
0.1,4108.873485506898,79.72134668429572
0.1,4226.911620824456,79.61876817700436
0.1,4348.340710241328,79.5161322106435
0.1,4473.258167781147,79.4134399307656
0.1,4601.764205940115,79.31069247690279
0.1,4733.961916080422,79.20789098259193
0.1,4869.957351133233,79.10503657539927
0.1,5009.85961067746,79.00213037694532
0.1,5153.780928462731,78.89917350292924
0.1,5301.8367624465955,78.79616706315363
0.1,5454.145887418369,78.6931121615487
0.1,5610.830490283756,78.59000989619676
0.1,5772.016268086863,78.48686135935648
0.1,5937.832528848055,78.38366763748698
0.1,6108.412295298736,78.28042981127187
0.1,6283.8924115960945,78.17714895564336
0.1,6464.413653103595,78.07382613980603
0.1,6650.120839325118,77.97046242726067
0.1,6841.162950083489,77.86705887582798
0.1,7037.693245036535,77.76361653767225
0.1,7239.86938662649,77.66013645932482
0.1,7447.85356656155,77.5566196817075
0.1,7661.812635930818,77.45306724015607
0.1,7881.918239057269,77.34948016444342
0.1,8108.346951195861,77.2458594788028
0.1,8341.280420187519,77.14220620195084
0.1,8580.90551218236,77.03852134711069
0.1,8827.414461549342,76.93480592203484
0.1,9081.00502509232,76.83106092902801
0.1,9341.880640696492,76.72728736496987
0.1,9610.250590532261,76.62348622133771
0.1,9886.330168947634,76.51965848422911
0.1,10170.340855183764,76.4158051343843
0.1,10462.510491052162,76.3119271472087
0.1,10763.073463716148,76.20802549279517
0.1,11072.2708937232,76.10410113594628
0.1,11390.350828439108,76.00015503619652
0.1,11717.568441038802,75.89618814783432
0.1,12054.18623521395,75.79220141992407
0.1,12400.474255761168,75.68819579632805
0.1,12756.710305220075,75.58417221572824
0.1,13123.180166734608,75.48013161164813
0.1,13500.177833316844,75.37607491247428
0.1,13888.00574369687,75.27200304147806
0.1,14286.975024948242,75.16791691683697
0.1,14697.405742083201,75.06381745165626
0.1,15119.627154818436,74.95970555399015
0.1,15553.977981716993,74.85558212686317
0.1,16000.80667191834,74.75144806829128
0.1,16460.471684674747,74.64730427130303
0.1,16933.341776917747,74.54315162396055
0.1,17419.79629908605,74.43899100938056
0.1,17920.22549945166,74.33482330575517
0.1,18435.03083718877,74.23064938637268
0.1,18964.625304436035,74.12647011963837
0.1,19509.43375761128,74.02228636909504
0.1,20069.893258243872,73.91809899344365
0.1,20646.453423598603,73.8139088465637
0.1,21239.57678737181,73.70971677753374
0.1,21849.739170749785,73.60552363065165
0.1,22477.430064126645,73.50133024545485
0.1,23123.15301978801,73.3971374567406
0.1,23787.42605587581,73.29294609458586
0.1,24470.78207195755,73.18875698436763
0.1,25173.76927653434,73.08457094678265
0.1,25896.951626829985,72.98038879786735
0.1,26640.909281214394,72.87621134901765
0.1,27406.239064623587,72.77203940700872
0.1,28193.554947350574,72.66787377401454
0.1,29003.488537590474,72.56371524762754
0.1,29836.689588135596,72.45956462087806
0.1,30693.8265176261,72.35542268225385
0.1,31575.58694677551,72.25129021571928
0.1,32482.678250000437,72.1471680007348
0.1,33415.82812289735,72.04305681227598
0.1,34375.785166021524,71.93895742085274
0.1,35363.31948543695,71.8348705925284
0.1,36379.223310517875,71.73079708893866
0.1,37424.31162949901,71.62673766731048
0.1,38499.42284328319,71.52269308048098
0.1,39605.419438031764,71.41866407691617
0.1,40743.1886770762,71.3146514007297
0.1,41913.64331270736,71.21065579170151
0.1,43117.72231841237,71.10667798529626
0.1,44356.39164214741,71.00271871268194
0.1,45630.6449812493,70.89877870074828
0.1,46941.50457960943,70.79485867212514
0.1,48290.02204774806,70.69095934520061
0.1,49677.27920644744,70.58708143413946
0.1,51104.388954621,70.4832256489011
0.1,52572.49616211329,70.37939269525778
0.1,54082.77858814904,70.27558327481249
0.1,55636.447826166346,70.17179808501702
0.1,57234.75027579338,70.06803781918967
0.1,58878.96814274659,69.96430316653324
0.1,60570.42046745459,69.86059481215257
0.1,62310.46418323141,69.75691343707243
0.1,64100.49520484919,69.6532597182548
0.1,65941.94954838176,69.54963432861682
0.1,67836.30448321986,69.44603793704785
0.1,69785.07971718036,69.34247120842716
0.1,71789.83861566149,69.23893480364109
0.1,73852.18945582022,69.13542937960041
0.1,75973.78671678057,69.03195558925749
0.1,78156.33240690573,68.92851408162345
0.1,80401.57742919962,68.82510550178519
0.1,82711.32298593393,68.72173049092247
0.1,85087.42202362514,68.61838968632473
0.1,87531.78071952396,68.51508372140815
0.1,90046.36001080691,68.41181322573225
0.1,92633.17716769922,68.30857882501684
0.1,95294.30741178783,68.20538114115848
0.1,98031.8855808265,68.10222079224738
0.1,100848.10784136578,67.99909839258372
0.1,103745.23345058378,67.89601455269421
0.1,106725.58656872825,67.79296987934858
0.1,109791.55812362784,67.68996497557588
0.1,112945.60772876519,67.58700044068085
0.1,116190.26565645168,67.4840768702601
0.1,119528.13486768813,67.3811948562183
0.1,122961.8931003359,67.27835498678435
0.1,126494.29501727884,67.17555784652741
0.1,130128.17441629508,67.07280401637283
0.1,133866.44650341495,66.9700940736182
0.1,137712.11023158432,66.86742859194915
0.1,141668.25070651472,66.76480814145522
0.1,145738.04166164636,66.66223328864551
0.1,149924.74800421242,66.55970459646447
0.1,154231.72843444312,66.45722262430749
0.1,158662.43814001582,66.35478792803652
0.1,163220.43156790896,66.25240105999544
0.1,167909.36527588483,66.15006256902579
0.1,172733.00086589012,66.04777300048181
0.1,177695.20800172276,65.94553289624608
0.1,182799.96751339248,65.84334279474461
0.1,188051.37459066042,65.74120323096217
0.1,193453.64206832327,65.6391147364573
0.1,199011.10380587252,65.53707783937763
0.1,204728.21816424662,65.43509306447473
0.1,210609.57158245993,65.33316093311917
0.1,216659.88225698206,65.23128196331545
0.1,222884.00392681267,65.12945666971689
